src_ip,dst_ip,src_port,dst_port,protocol,packet_size,duration,packets_sent,packets_received,bytes_sent,bytes_received,syn_flag,ack_flag,fin_flag,rst_flag,psh_flag,urg_flag,label
215.213.119.134,34.154.43.233,4744,5432,UDP,600,8.414,11,102,38020,8118,1,0,1,0,0,0,normal
141.114.158.172,39.12.42.95,45066,3306,TCP,479,2.655,70,98,31804,42790,1,0,0,0,0,0,normal
159.38.86.223,246.86.54.244,29048,21,TCP,776,6.661,52,86,18336,48839,0,1,1,0,1,0,normal
10.188.198.108,90.10.192.131,15036,443,TCP,223,9.23,20,149,875,48058,0,0,0,0,0,0,normal
186.112.91.254,162.57.224.121,12147,21,UDP,742,7.21,101,17,7843,34465,0,0,1,0,0,0,normal
67.93.80.98,4.2.213.156,56265,8080,TCP,929,1.437,16,9,1027,646,0,1,0,0,1,0,sql_injection
65.237.87.102,86.109.167.50,39464,22,UDP,949,9.041,63,140,7611,6590,1,0,0,0,0,0,normal
67.93.80.98,4.2.213.156,50887,8080,TCP,345,1.856,7,1,4465,672,0,1,0,0,1,0,sql_injection
119.34.37.46,111.18.12.155,37705,5432,ICMP,1137,6.469,138,151,32649,24571,1,1,0,0,0,0,normal
236.194.210.99,135.163.202.73,43375,22,TCP,180,0.947,11,5,453,682,0,1,0,1,1,0,brute_force
247.82.27.90,206.204.255.7,1424,443,TCP,1460,1.417,11,82,5889,7222,1,1,0,0,0,0,normal
102.165.103.117,21.204.64.19,47953,21,TCP,100,5.178,189,92,37938,25677,1,1,0,0,0,0,normal
53.51.121.211,189.73.220.84,32669,25,TCP,1140,1.662,166,195,46270,44172,0,0,1,0,0,0,normal
22.184.163.252,207.204.200.160,29176,53,UDP,83,2.028,14,25,45155,34763,1,0,1,0,0,0,normal
225.8.118.204,88.72.68.137,56517,22,TCP,598,2.303,163,171,301,40550,0,0,0,0,1,0,normal
244.124.129.219,44.38.245.84,1297,25,ICMP,499,9.057,200,169,48201,18341,0,1,1,0,0,0,normal
213.152.3.242,12.249.77.156,31420,22,TCP,314,2.784,82,86,191,31226,0,0,1,0,1,0,normal
100.6.36.216,56.205.163.191,54468,5432,TCP,778,7.967,195,28,36060,27708,0,0,0,0,0,0,normal
109.28.82.8,48.179.214.26,23974,110,TCP,157,1.568,19,148,29126,22472,0,1,1,0,0,0,normal
29.12.203.219,162.0.122.173,45221,14167,TCP,60,0.002,1,0,60,40,1,0,0,0,0,0,port_scan
52.186.226.242,74.231.96.3,63360,5432,UDP,1368,9.8,176,24,231,36949,1,0,0,0,0,0,normal
245.47.158.249,190.250.61.231,25755,3306,UDP,1236,7.157,10,156,42285,12095,0,0,1,0,0,0,normal
103.74.65.34,178.115.118.208,44636,8080,UDP,1466,0.054,1807,0,476487,100,0,0,0,0,1,0,ddos
8.56.111.68,33.124.127.231,5481,53,ICMP,998,9.922,24,194,22148,22534,1,1,0,0,1,0,normal
174.115.83.84,178.115.118.208,31991,8080,TCP,1448,0.059,282,2,772944,0,0,0,0,0,0,0,ddos
9.70.64.205,178.115.118.208,61138,8080,TCP,649,0.01,1298,2,426962,100,1,0,0,0,0,0,ddos
75.248.182.213,251.232.216.70,52266,22,UDP,875,8.982,158,37,9405,11557,0,1,0,0,1,0,normal
80.240.240.63,178.115.118.208,22605,8080,ICMP,1227,0.095,2000,0,789756,100,0,0,0,0,1,0,ddos
241.47.162.33,133.255.176.33,40811,110,UDP,634,4.84,92,173,44487,22581,0,0,1,0,0,0,normal
14.107.190.197,118.146.94.152,2584,143,TCP,173,4.769,40,174,25800,46561,0,1,1,0,1,0,normal
84.213.219.147,53.235.196.23,42817,5432,ICMP,721,1.836,93,3,46899,33799,0,1,1,0,1,0,normal
3.104.197.241,178.214.250.203,18710,3306,UDP,703,9.683,194,13,10951,36833,0,1,1,0,1,0,normal
236.194.210.99,135.163.202.73,51472,3389,TCP,107,0.673,15,10,1257,873,0,1,0,1,1,0,brute_force
46.244.128.98,162.195.70.242,9796,110,TCP,68,0.227,165,26,48304,28485,1,0,1,0,1,0,normal
29.12.203.219,162.0.122.173,41945,26244,TCP,60,0.006,1,1,60,0,1,0,0,1,0,0,port_scan
181.124.99.160,178.115.118.208,57126,8080,UDP,1002,0.002,871,1,978435,100,0,0,0,0,0,0,ddos
236.170.231.66,130.237.99.250,9115,25,ICMP,756,8.186,133,149,10222,3406,0,1,1,0,0,0,normal
111.212.56.62,151.94.46.18,61438,443,TCP,102,6.239,34,13,24436,4120,1,0,1,0,1,0,normal
133.209.230.40,230.28.37.170,22082,80,TCP,1437,2.066,12,65,35274,27143,0,0,0,0,1,0,normal
67.93.80.98,4.2.213.156,59740,80,TCP,240,1.272,9,3,666,376,0,1,0,0,1,0,sql_injection
67.93.80.98,4.2.213.156,53199,80,TCP,270,1.067,12,8,1124,283,0,1,0,0,1,0,sql_injection
29.12.203.219,162.0.122.173,49340,21166,TCP,60,0.002,1,1,60,0,1,0,0,0,0,0,port_scan
76.163.139.130,6.151.140.133,16579,110,TCP,425,0.071,167,140,5330,31906,1,0,0,0,1,0,normal
14.160.166.217,24.36.209.163,61098,110,ICMP,173,2.216,52,173,35622,46734,0,1,0,0,0,0,normal
150.41.72.71,25.132.197.107,20637,110,ICMP,1141,3.676,171,108,25113,9496,0,1,0,0,0,0,normal
236.194.210.99,135.163.202.73,48363,22,TCP,272,0.824,14,4,963,874,0,1,0,1,1,0,brute_force
129.221.218.125,150.34.67.196,16608,110,UDP,718,2.515,129,70,22807,12387,0,0,1,0,1,0,normal
29.12.203.219,162.0.122.173,45699,22941,TCP,60,0.009,1,0,60,0,1,0,0,0,0,0,port_scan
133.167.15.57,124.159.18.253,31801,5432,UDP,941,3.278,58,54,18250,21170,0,0,0,0,0,0,normal
148.37.109.28,220.152.98.200,22520,5432,TCP,394,4.053,99,7,6219,45236,0,1,1,0,0,0,normal
226.11.179.151,222.182.95.100,35595,5432,TCP,81,0.352,186,183,26876,1905,0,1,0,0,0,0,normal
163.143.20.19,246.76.34.26,58623,21,UDP,1408,6.599,44,175,7649,31728,1,1,1,0,1,0,normal
206.177.121.254,173.147.178.102,23144,22,UDP,1168,4.567,79,69,14818,17563,0,1,0,0,1,0,normal
226.108.220.147,241.214.33.197,39174,143,UDP,782,5.588,108,194,7948,33664,1,0,1,0,0,0,normal
247.192.164.147,178.115.118.208,61266,8080,UDP,669,0.032,1751,2,188052,0,1,0,0,0,0,0,ddos
236.194.210.99,135.163.202.73,49059,21,TCP,114,0.967,9,3,1374,795,0,1,0,1,1,0,brute_force
141.237.61.129,156.16.110.247,14693,110,UDP,1416,2.891,83,81,2162,15193,1,1,0,0,1,0,normal
41.161.180.57,178.115.118.208,25476,8080,ICMP,1457,0.033,1729,2,579872,100,0,0,0,0,1,0,ddos
240.248.111.17,178.115.118.208,5724,8080,TCP,686,0.004,1271,2,277256,100,0,0,0,0,1,0,ddos
149.30.159.160,160.69.161.97,14673,53,TCP,1192,8.245,133,140,995,45917,0,0,1,0,0,0,normal
234.170.125.66,137.124.21.175,51081,3306,ICMP,671,2.097,62,175,9333,42708,1,0,1,0,0,0,normal
216.37.112.9,171.102.11.232,61759,53,TCP,785,9.903,194,13,42260,11528,1,1,0,0,0,0,normal
116.74.146.212,251.107.252.171,58238,5432,TCP,68,4.091,132,173,22624,9416,1,1,1,0,1,0,normal
43.102.181.67,111.136.151.131,4789,53,ICMP,100,9.558,1,107,6276,39234,0,1,0,0,0,0,normal
173.183.213.20,200.161.6.128,51391,21,UDP,735,9.043,19,51,4997,1510,1,1,0,0,0,0,normal
46.248.206.230,161.79.116.104,46714,3306,TCP,641,1.092,42,51,33218,39524,0,0,1,0,1,0,normal
88.216.144.71,169.94.143.217,18472,80,ICMP,424,5.782,63,32,6998,23256,1,0,1,0,1,0,normal
29.12.203.219,162.0.122.173,46389,10279,TCP,60,0.004,1,1,60,40,1,0,0,1,0,0,port_scan
155.88.23.57,243.48.5.196,43551,21,ICMP,718,0.003,192,118,13210,2537,0,0,1,0,0,0,normal
29.12.203.219,162.0.122.173,49098,41834,TCP,60,0.006,1,0,60,0,1,0,0,0,0,0,port_scan
243.186.196.232,202.134.187.207,2396,143,UDP,594,5.504,197,143,23848,1242,0,0,0,0,0,0,normal
29.12.203.219,162.0.122.173,40018,57364,TCP,60,0.007,1,0,60,40,1,0,0,0,0,0,port_scan
50.209.16.120,178.115.118.208,33530,8080,UDP,895,0.042,784,1,880230,100,0,0,0,0,1,0,ddos
47.207.121.130,170.180.187.137,60204,143,TCP,715,8.706,70,41,27587,40090,1,1,0,0,1,0,normal
29.12.203.219,162.0.122.173,45662,32487,TCP,60,0.005,1,0,60,0,1,0,0,1,0,0,port_scan
8.216.143.103,60.130.205.251,22168,25,UDP,952,1.686,161,153,43194,25746,1,1,0,0,0,0,normal
77.206.191.143,173.153.25.78,7673,3306,TCP,732,3.005,130,138,23195,30132,1,0,0,0,1,0,normal
200.26.171.18,83.107.120.103,33790,5432,TCP,539,2.386,56,160,25336,40307,0,0,1,0,1,0,normal
175.116.167.12,200.128.55.28,43410,443,UDP,1059,8.17,70,149,25902,18055,1,1,0,0,0,0,normal
158.78.23.216,106.137.77.71,28244,21,ICMP,288,6.903,121,169,41116,7209,0,1,0,0,0,0,normal
27.231.112.25,236.213.213.123,52890,110,UDP,332,5.152,129,191,30681,40302,0,0,1,0,0,0,normal
110.225.48.200,178.115.118.208,55704,8080,UDP,1205,0.029,1719,2,310138,100,0,0,0,0,1,0,ddos
54.47.153.15,84.69.200.37,25605,443,UDP,1475,0.209,145,97,11431,13442,0,0,1,0,0,0,normal
192.19.108.203,178.115.118.208,63673,8080,TCP,659,0.026,1494,1,914048,0,1,0,0,0,0,0,ddos
53.79.185.63,150.0.144.6,59910,143,ICMP,645,2.294,44,79,28551,34728,0,1,1,0,0,0,normal
29.12.203.219,162.0.122.173,41278,40410,TCP,60,0.009,1,1,60,40,1,0,0,0,0,0,port_scan
186.165.111.75,50.63.181.126,35110,53,ICMP,1424,4.201,189,71,13467,28090,0,0,1,0,0,0,normal
67.93.80.98,4.2.213.156,52255,8080,TCP,486,1.937,5,1,3939,1511,0,1,0,0,1,0,sql_injection
254.132.22.37,2.216.0.132,16416,443,TCP,1489,9.327,128,43,37979,8427,1,1,1,0,0,0,normal
29.12.203.219,162.0.122.173,40196,47450,TCP,60,0.003,1,1,60,40,1,0,0,1,0,0,port_scan
122.130.131.190,208.74.48.117,39264,53,ICMP,481,8.642,157,57,15719,12586,1,1,1,0,0,0,normal
205.162.220.183,59.106.54.215,29125,110,ICMP,1241,9.761,19,21,26210,46064,0,1,1,0,1,0,normal
100.187.61.22,178.115.118.208,16954,8080,UDP,543,0.091,1990,0,770456,0,0,0,0,0,1,0,ddos
236.194.210.99,135.163.202.73,54031,3389,TCP,230,0.695,5,4,1402,129,0,1,0,1,1,0,brute_force
145.107.109.106,13.27.139.3,26060,5432,TCP,1332,9.92,125,6,30056,25107,0,1,1,0,1,0,normal
77.155.176.243,3.192.152.148,40115,21,UDP,1408,9.143,77,193,20057,40095,0,1,1,0,1,0,normal
108.67.75.6,225.215.30.165,38162,5432,TCP,973,2.168,21,6,34894,25010,0,1,1,0,1,0,normal
233.0.12.139,110.127.211.254,23090,443,UDP,1112,5.359,147,88,13000,4951,0,0,1,0,0,0,normal
53.96.244.147,9.213.221.245,44948,53,TCP,993,4.315,115,130,3898,1517,0,1,1,0,0,0,normal
200.250.194.91,161.98.39.253,47977,110,UDP,318,2.903,45,144,44487,48138,0,1,0,0,0,0,normal
29.12.203.219,162.0.122.173,47201,62273,TCP,60,0.007,1,1,60,0,1,0,0,0,0,0,port_scan
29.12.203.219,162.0.122.173,48381,23969,TCP,60,0.004,1,1,60,0,1,0,0,1,0,0,port_scan
236.194.210.99,135.163.202.73,48664,23,TCP,208,0.234,13,5,327,918,0,1,0,0,1,0,brute_force
255.242.220.222,134.104.57.117,30377,53,TCP,828,6.107,15,109,42692,24182,1,0,0,0,0,0,normal
107.146.55.234,26.252.86.58,38936,21,UDP,301,5.926,12,64,23481,24093,0,1,0,0,0,0,normal
217.132.187.168,27.114.106.184,20939,22,UDP,980,4.253,91,75,28392,32124,1,0,1,0,0,0,normal
238.98.175.109,240.80.214.174,33690,110,ICMP,1105,5.807,182,127,17603,32289,0,1,1,0,1,0,normal
138.209.26.139,132.45.80.53,29218,21,UDP,1378,6.687,29,195,17754,16345,0,0,0,0,1,0,normal
29.12.203.219,162.0.122.173,49220,11771,TCP,60,0.005,1,1,60,40,1,0,0,1,0,0,port_scan
57.167.22.206,91.111.207.145,62504,3306,UDP,951,5.09,68,122,22884,12393,1,1,1,0,0,0,normal
67.93.80.98,4.2.213.156,44463,443,TCP,812,1.177,6,4,805,1888,0,1,0,0,1,0,sql_injection
254.170.223.60,255.146.34.130,59821,143,UDP,649,2.262,86,83,4810,45349,1,0,0,0,0,0,normal
197.119.125.152,182.150.215.167,10826,22,ICMP,662,2.772,18,40,37770,30498,0,0,1,0,1,0,normal
29.12.203.219,162.0.122.173,43639,8189,TCP,60,0.001,1,1,60,40,1,0,0,0,0,0,port_scan
236.194.210.99,135.163.202.73,44285,3389,TCP,115,0.875,12,8,343,981,0,1,0,1,1,0,brute_force
140.171.245.94,186.251.99.228,18909,53,ICMP,174,2.115,155,118,33028,49104,1,0,0,0,0,0,normal
43.59.161.223,180.244.237.55,43466,21,UDP,1266,2.779,160,22,9461,15783,1,1,1,0,0,0,normal
19.7.79.142,191.238.139.6,37453,3306,UDP,928,7.458,71,91,48956,31127,0,0,0,0,0,0,normal
236.194.210.99,135.163.202.73,54068,22,TCP,105,0.232,14,6,1019,385,0,1,0,0,1,0,brute_force
46.115.136.212,138.179.205.168,60738,25,TCP,1144,1.53,34,61,7692,19033,1,1,0,0,1,0,normal
249.222.251.129,178.115.118.208,5045,8080,UDP,1489,0.006,1514,1,838604,0,1,0,0,0,0,0,ddos
20.67.80.195,52.98.45.108,55400,110,TCP,1324,2.376,186,9,31059,17234,1,1,1,0,1,0,normal
67.93.80.98,4.2.213.156,42208,80,TCP,765,1.972,15,9,3293,841,0,1,0,0,1,0,sql_injection
67.228.22.89,92.121.104.109,45290,5432,ICMP,381,9.668,171,193,11819,32755,1,0,1,0,1,0,normal
29.12.203.219,162.0.122.173,47593,47387,TCP,60,0.006,1,1,60,40,1,0,0,0,0,0,port_scan
181.63.137.209,159.160.225.77,38110,110,TCP,1141,2.607,180,199,10467,17197,1,0,0,0,1,0,normal
211.56.99.102,87.19.0.45,5416,3306,TCP,564,8.405,55,197,26411,39268,0,0,1,0,1,0,normal
182.79.140.92,178.115.118.208,47179,8080,UDP,868,0.097,751,1,645026,0,0,0,0,0,1,0,ddos
25.58.11.155,32.250.37.144,60210,443,UDP,1210,7.447,180,108,4219,2538,1,1,1,0,0,0,normal
135.233.106.81,178.115.118.208,35196,8080,ICMP,520,0.012,1147,1,380329,100,0,0,0,0,0,0,ddos
29.12.203.219,162.0.122.173,40580,13062,TCP,60,0.007,1,0,60,0,1,0,0,1,0,0,port_scan
50.243.181.56,17.91.34.4,49239,53,TCP,369,9.743,84,100,49230,6993,0,1,1,0,0,0,normal
144.118.169.217,118.92.247.188,54741,22,UDP,1458,4.431,174,169,24255,7281,1,0,1,0,0,0,normal
67.93.80.98,4.2.213.156,47907,443,TCP,409,0.173,19,4,2195,363,0,1,0,0,1,0,sql_injection
200.45.167.79,84.242.40.169,4177,5432,ICMP,176,8.819,42,168,11846,29020,0,0,0,0,0,0,normal
117.199.234.51,56.88.215.161,4657,53,UDP,580,7.183,128,83,47090,9878,0,0,0,0,1,0,normal
131.254.136.199,87.199.28.26,49475,143,TCP,307,1.246,125,33,16674,48383,0,0,0,0,1,0,normal
236.194.210.99,135.163.202.73,46233,22,TCP,231,0.491,9,10,371,347,0,1,0,0,1,0,brute_force
28.116.84.37,178.76.112.70,44706,25,UDP,159,4.748,131,92,16747,20232,0,0,0,0,0,0,normal
29.12.203.219,162.0.122.173,40835,46429,TCP,60,0.006,1,0,60,40,1,0,0,0,0,0,port_scan
29.12.203.219,162.0.122.173,41941,54588,TCP,60,0.003,1,0,60,0,1,0,0,1,0,0,port_scan
11.118.18.46,178.115.118.208,43549,8080,ICMP,781,0.02,1624,1,235032,0,1,0,0,0,0,0,ddos
61.162.210.139,239.138.30.126,22265,21,UDP,1276,4.658,30,4,32353,3371,1,1,1,0,0,0,normal
29.12.203.219,162.0.122.173,45278,17133,TCP,60,0.006,1,0,60,0,1,0,0,1,0,0,port_scan
133.178.135.161,95.5.127.59,41127,143,UDP,80,8.934,179,66,23450,12016,1,1,0,0,1,0,normal
21.237.121.233,32.210.198.181,4659,443,ICMP,882,7.783,26,108,6052,13850,1,1,1,0,1,0,normal
198.33.163.44,135.175.117.133,38738,143,TCP,1142,0.433,68,172,8480,42299,1,0,1,0,1,0,normal
200.83.229.240,251.255.79.101,59339,80,ICMP,1192,0.814,64,143,19710,19264,1,1,1,0,0,0,normal
108.111.117.139,207.178.173.217,46676,3306,ICMP,485,6.063,113,195,8238,10275,1,0,1,0,0,0,normal
39.101.34.162,175.47.151.119,15993,3306,ICMP,207,1.099,96,35,4840,19186,1,0,0,0,1,0,normal
196.208.173.228,17.10.64.142,53537,25,ICMP,982,2.252,139,135,3659,579,0,1,0,0,0,0,normal
107.38.100.18,61.174.4.146,9594,22,TCP,1359,0.01,122,109,32181,40733,1,0,1,0,1,0,normal
67.93.80.98,4.2.213.156,56785,443,TCP,477,0.151,12,10,3066,1656,0,1,0,0,1,0,sql_injection
132.254.239.102,124.191.15.131,52933,80,UDP,1072,2.031,100,119,47678,37473,0,0,1,0,0,0,normal
135.137.247.112,10.83.125.178,21049,110,UDP,1137,3.94,113,86,38502,36026,0,1,0,0,1,0,normal
23.211.183.65,99.173.84.131,38117,443,TCP,733,4.879,174,39,3855,182,0,0,1,0,1,0,normal
180.109.55.33,42.91.88.236,4387,53,UDP,1022,0.478,12,171,10094,12577,0,1,0,0,0,0,normal
29.12.203.219,162.0.122.173,48258,40823,TCP,60,0.009,1,1,60,40,1,0,0,1,0,0,port_scan
107.45.43.187,13.240.101.217,53658,80,TCP,1398,8.858,79,178,46954,32535,1,1,1,0,1,0,normal
252.249.11.138,85.26.127.151,40396,3306,ICMP,1255,6.018,107,103,31669,11526,1,1,0,0,0,0,normal
67.93.80.98,4.2.213.156,57011,80,TCP,469,0.873,19,10,1070,689,0,1,0,0,1,0,sql_injection
9.141.7.209,4.138.255.233,14242,3306,UDP,282,6.142,97,153,30514,21022,1,1,1,0,0,0,normal
29.12.203.219,162.0.122.173,47458,42861,TCP,60,0.01,1,1,60,40,1,0,0,0,0,0,port_scan
55.100.213.175,158.204.124.87,50216,110,TCP,997,7.246,136,158,49056,19666,1,1,0,0,1,0,normal
133.66.252.5,221.228.219.91,17300,25,UDP,1294,7.498,184,27,23351,13453,1,1,0,0,1,0,normal
245.205.92.169,196.69.179.138,34308,80,TCP,1187,8.146,77,119,44793,8420,1,0,0,0,1,0,normal
126.163.173.39,38.238.22.187,26846,22,UDP,551,8.077,1,125,1480,35173,1,1,0,0,0,0,normal
70.2.163.121,178.115.118.208,9011,8080,TCP,660,0.049,1584,2,219780,0,0,0,0,0,1,0,ddos
192.210.16.81,109.83.118.67,61344,443,TCP,502,8.459,157,48,12971,29925,1,1,0,0,0,0,normal
190.1.254.21,178.115.118.208,28184,8080,UDP,1140,0.05,1599,0,930832,0,1,0,0,0,0,0,ddos
232.198.161.237,82.186.94.19,29320,53,UDP,586,1.646,90,77,15353,1249,1,0,1,0,0,0,normal
236.194.210.99,135.163.202.73,43485,22,TCP,263,0.16,10,7,707,503,0,1,0,0,1,0,brute_force
206.162.179.250,152.126.36.161,37807,53,UDP,857,9.681,92,84,13129,35106,1,0,0,0,0,0,normal
236.194.210.99,135.163.202.73,48409,22,TCP,167,0.541,8,10,927,169,0,1,0,1,1,0,brute_force
61.198.166.219,248.192.199.104,35119,143,TCP,1166,8.77,167,170,22074,17256,0,1,0,0,1,0,normal
32.47.33.241,97.237.230.178,15087,143,UDP,1339,0.807,108,151,14594,19785,0,0,1,0,0,0,normal
83.177.96.206,44.5.26.161,60109,22,TCP,1126,3.566,12,63,2586,11891,0,0,0,0,0,0,normal
157.214.175.130,29.118.85.240,7847,5432,UDP,765,5.293,197,114,13783,29234,0,1,1,0,1,0,normal
72.45.206.200,178.115.118.208,52752,8080,UDP,913,0.003,650,0,353297,100,1,0,0,0,0,0,ddos
252.29.118.94,216.238.120.216,62228,5432,TCP,206,8.498,22,50,10867,33932,1,1,0,0,0,0,normal
134.28.4.54,152.212.56.97,26492,53,UDP,802,8.486,179,139,39499,44233,0,0,0,0,1,0,normal
237.146.213.140,45.42.185.240,42728,53,TCP,1121,1.457,29,98,40617,45205,0,1,0,0,0,0,normal
29.12.203.219,162.0.122.173,49174,7434,TCP,60,0.006,1,0,60,40,1,0,0,1,0,0,port_scan
168.111.192.171,121.121.21.21,6068,3306,UDP,155,3.503,105,37,21323,24485,1,1,0,0,0,0,normal
67.93.80.98,4.2.213.156,50354,8080,TCP,732,1.331,20,6,4080,1760,0,1,0,0,1,0,sql_injection
182.212.18.87,130.187.116.17,38628,443,ICMP,362,9.578,61,157,48457,48294,0,1,1,0,0,0,normal
29.12.203.219,162.0.122.173,43368,31832,TCP,60,0.009,1,1,60,40,1,0,0,1,0,0,port_scan
50.179.233.43,164.92.164.162,55911,22,TCP,371,5.482,62,92,9149,49890,1,1,1,0,0,0,normal
253.53.185.97,16.204.44.143,33153,143,UDP,473,4.46,170,135,45915,20436,0,1,0,0,0,0,normal
241.58.73.84,84.202.47.88,55150,143,TCP,1004,3.145,67,67,13541,29760,0,0,0,0,1,0,normal
29.131.129.246,79.202.250.210,26439,25,TCP,598,7.704,142,161,9140,4308,0,0,1,0,0,0,normal
29.12.203.219,162.0.122.173,45072,9801,TCP,60,0.002,1,0,60,0,1,0,0,0,0,0,port_scan
99.234.149.87,164.23.224.165,26862,443,TCP,978,3.501,84,64,26853,8981,1,1,1,0,1,0,normal
215.250.232.11,106.226.95.73,43184,110,UDP,1128,2.934,100,132,32969,16075,1,1,1,0,1,0,normal
77.88.41.57,200.165.239.44,51141,25,TCP,1198,2.587,3,132,5638,22169,1,0,1,0,0,0,normal
236.194.210.99,135.163.202.73,40639,3389,TCP,240,0.434,14,4,1383,609,0,1,0,0,1,0,brute_force
54.254.103.133,171.114.7.202,65385,5432,UDP,277,7.666,94,195,2311,17656,1,1,0,0,0,0,normal
236.194.210.99,135.163.202.73,46282,3389,TCP,266,0.934,15,7,414,372,0,1,0,1,1,0,brute_force
112.137.125.121,179.104.82.248,40359,443,UDP,1228,9.79,41,1,2899,28678,0,0,1,0,0,0,normal
248.56.22.206,162.252.237.200,4249,53,TCP,945,5.051,82,72,47250,12458,1,0,0,0,1,0,normal
134.2.203.232,202.68.121.170,50636,21,ICMP,932,2.355,45,126,19419,29685,1,1,0,0,0,0,normal
20.109.91.12,102.153.216.18,31095,5432,TCP,290,9.997,198,190,37318,42758,0,0,1,0,1,0,normal
135.152.13.110,121.105.82.41,33884,21,TCP,1291,1.3,196,170,32389,11298,0,0,1,0,1,0,normal
242.239.188.168,178.115.118.208,16391,8080,ICMP,1172,0.056,804,1,709696,0,0,0,0,0,0,0,ddos
230.29.107.210,91.58.197.33,35053,21,UDP,464,8.362,51,191,30845,19037,1,1,1,0,0,0,normal
205.180.106.84,20.134.58.200,19058,25,TCP,702,1.491,69,133,9465,23125,0,0,0,0,1,0,normal
253.158.225.100,108.128.34.105,64225,5432,UDP,957,5.09,101,66,13164,37516,0,1,1,0,1,0,normal
29.12.203.219,162.0.122.173,49444,60929,TCP,60,0.002,1,0,60,40,1,0,0,1,0,0,port_scan
236.194.210.99,135.163.202.73,40979,22,TCP,295,0.133,10,8,1392,503,0,1,0,0,1,0,brute_force
1.196.0.113,77.49.90.106,58091,5432,ICMP,973,8.829,72,100,28670,43633,1,0,1,0,1,0,normal
67.93.80.98,4.2.213.156,58459,80,TCP,639,0.773,5,9,888,1467,0,1,0,0,1,0,sql_injection
145.223.243.101,178.115.118.208,7809,8080,UDP,746,0.018,1934,1,621966,0,1,0,0,0,1,0,ddos
60.66.34.236,14.158.27.96,49150,3306,TCP,405,4.214,72,119,4061,20436,1,0,1,0,0,0,normal
165.14.127.215,31.114.143.17,31664,443,ICMP,1451,7.571,15,155,27704,41302,0,1,1,0,0,0,normal
222.45.22.119,5.223.7.225,33796,5432,TCP,341,9.01,195,88,44224,13601,1,0,0,0,0,0,normal
121.253.34.94,104.130.185.155,17119,53,ICMP,1252,1.251,48,61,16648,10131,0,0,0,0,1,0,normal
67.93.80.98,4.2.213.156,48241,80,TCP,220,0.383,5,3,2990,644,0,1,0,0,1,0,sql_injection
243.77.141.162,80.123.48.97,55580,3306,ICMP,1252,0.552,175,9,2165,21234,1,1,0,0,1,0,normal
70.193.231.111,178.115.118.208,42219,8080,TCP,1480,0.073,720,2,840823,100,0,0,0,0,0,0,ddos
34.228.80.131,179.254.252.91,15947,110,TCP,1208,8.841,112,122,2927,40959,0,0,0,0,1,0,normal
159.125.141.191,147.4.167.227,29621,53,UDP,184,5.147,77,154,2376,16362,1,1,1,0,0,0,normal
169.239.220.200,154.101.180.197,40532,5432,TCP,592,7.449,82,23,41335,29107,1,0,0,0,1,0,normal
67.93.80.98,4.2.213.156,40140,443,TCP,984,1.89,20,4,2482,710,0,1,0,0,1,0,sql_injection
29.12.203.219,162.0.122.173,40453,64116,TCP,60,0.002,1,1,60,0,1,0,0,1,0,0,port_scan
236.194.210.99,135.163.202.73,55788,23,TCP,123,0.944,15,6,287,622,0,1,0,1,1,0,brute_force
45.245.133.51,31.130.92.131,44035,5432,ICMP,493,0.626,163,70,5660,28626,1,1,0,0,0,0,normal
95.149.198.180,235.0.61.248,37700,143,ICMP,1467,7.395,182,170,14141,33116,1,1,1,0,0,0,normal
26.42.173.234,160.154.25.77,33044,22,ICMP,407,2.747,1,161,32762,1490,1,0,1,0,1,0,normal
91.224.203.131,115.218.20.81,32178,25,UDP,1335,9.442,50,149,48278,18367,0,1,1,0,0,0,normal
156.193.80.147,113.110.116.66,59942,110,ICMP,129,5.23,47,44,47890,34040,1,0,1,0,0,0,normal
181.70.190.117,178.115.118.208,51955,8080,UDP,911,0.028,1982,0,842032,0,1,0,0,0,1,0,ddos
93.230.2.46,159.199.129.72,21018,143,TCP,1269,2.28,79,175,23055,19146,0,1,1,0,1,0,normal
111.237.59.37,192.144.120.118,14363,53,UDP,762,7.993,67,1,1521,2701,1,0,1,0,0,0,normal
67.93.80.98,4.2.213.156,50124,8080,TCP,810,1.394,11,10,871,340,0,1,0,0,1,0,sql_injection
198.176.72.134,167.147.193.22,18063,21,TCP,712,9.831,162,21,21753,48026,1,0,0,0,1,0,normal
236.194.210.99,135.163.202.73,55347,22,TCP,216,0.271,8,4,549,889,0,1,0,1,1,0,brute_force
202.205.38.202,86.77.112.153,52309,5432,TCP,100,2.423,47,46,3030,49586,0,0,1,0,0,0,normal
208.183.251.122,25.25.60.183,7297,25,TCP,339,0.333,2,52,22650,20747,0,1,1,0,0,0,normal
67.93.80.98,4.2.213.156,54558,443,TCP,488,1.975,16,2,596,1680,0,1,0,0,1,0,sql_injection
76.228.135.102,185.215.14.150,33950,22,ICMP,154,9.729,25,21,44924,11726,1,1,0,0,0,0,normal
29.12.203.219,162.0.122.173,45066,34080,TCP,60,0.004,1,0,60,0,1,0,0,0,0,0,port_scan
67.93.80.98,4.2.213.156,43087,8080,TCP,715,0.14,16,2,1797,947,0,1,0,0,1,0,sql_injection
201.113.143.242,44.68.83.23,18361,143,TCP,1048,3.026,68,70,17324,16504,1,1,0,0,0,0,normal
